year;time;latitude;longitude;depth;mag;a;b;c;d;e;f
2007;1.170731597;-21.126;-68.51;138.3;3.6;2007;1;2;5;48;36
2007;2.193045833;-19.832;-69.008;107.7;3.8;2007;1;3;6;20;44
2007;2.95270544;-22.361;-70.381;63.2;4.4;2007;1;4;0;34;39
2007;3.049925347;-19.485;-69.429;103.6;4.7;2007;1;4;2;54;39
2007;3.235598958;-20.217;-69.182;98;3.6;2007;1;4;7;22;1
2007;3.416892824;-20.92;-69.186;108.4;3.6;2007;1;4;11;43;5
2007;4.568712616;-20.844;-68.948;108.5;3.7;2007;1;5;15;21;42
2007;5.020926505;-20.148;-69.148;96.7;3.8;2007;1;6;2;12;53
2007;5.513478935;-20.171;-69.133;97.4;4.7;2007;1;6;14;2;10
2007;5.777737963;-21.197;-68.431;129.1;3.7;2007;1;6;20;22;42
2007;5.983952315;-21.985;-68.624;125.1;4.2;2007;1;7;1;19;39
2007;6.159007755;-20.941;-67.715;202;3.9;2007;1;7;5;31;43
2007;6.205960648;-21.27;-68.738;120.1;4.2;2007;1;7;6;39;20
2007;6.292609722;-20.059;-69.166;99;3.9;2007;1;7;8;44;7
2007;6.663202778;-21.757;-68.446;122.9;3.8;2007;1;7;17;37;46
2007;7.537739468;-21.088;-68.939;113.3;4.2;2007;1;8;14;37;6
2007;7.697594444;-21.342;-68.407;118.8;4.2;2007;1;8;18;27;17
2007;8.139182176;-20.541;-69.104;93.5;3.5;2007;1;9;5;3;10
2007;9.133384491;-21.217;-68.242;149;3.8;2007;1;10;4;54;50
2007;9.92925706;-20.562;-70.587;36.8;3.5;2007;1;11;0;0;53
2007;10.12941863;-21.568;-68.415;124.5;3.8;2007;1;11;4;49;7
2007;11.16779016;-21.062;-68.86;113.3;3.9;2007;1;12;5;44;22
2007;11.59181991;-22.568;-68.708;106.9;3.7;2007;1;12;15;54;58
2007;11.73588819;-21.792;-69.877;60.6;4.3;2007;1;12;19;22;26
2007;12.64432963;-22.373;-68.655;106.8;3.8;2007;1;13;17;10;35
2007;13.0241838;-20.567;-68.921;103.8;4;2007;1;14;2;17;35
2007;13.26530544;-19.923;-69.302;107.2;3.6;2007;1;14;8;4;47
2007;14.37038079;-20.857;-67.525;219.2;3.6;2007;1;15;10;36;6
2007;15.47079329;-22.227;-68.744;114.4;3.5;2007;1;16;13;0;42
2007;15.51309236;-20.98;-69.632;74.6;3.5;2007;1;16;14;1;36
2007;16.5221684;-20.189;-69.185;93.2;3.5;2007;1;17;14;14;40
2007;16.7945;-22.888;-68.818;92.5;3.9;2007;1;17;20;46;50
2007;17.36397384;-20.275;-68.772;112.6;5.2;2007;1;18;10;26;52
