,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,latitude,longitude,depth,EH1,EH2,AZ,EV,mag,ID
0,1984,1,5,22,28,2.4,38.78798,-122.77681,1.663,0.016,0.015,82,0.021,2.6,1109586
1,1984,1,14,3,52,25.775,38.78243,-122.76226,1.15,0.016,0.014,173,0.029,2.1,1109891
2,1984,1,15,5,11,41.978,38.80199,-122.76981,1.969,0.017,0.013,152,0.025,1.6,1109969
3,1984,2,7,0,37,20.986,38.8049,-122.76964,3.842,0.026,0.022,4,0.055,2.0,1110924
4,1984,2,14,8,6,36.415,38.80483,-122.77107,1.974,0.018,0.014,155,0.025,1.8,1111283
5,1984,2,25,13,38,12.095,38.78901,-122.774,1.93,0.012,0.011,136,0.022,2.5,7733
6,1984,2,26,4,22,13.065,38.78428,-122.77119,1.065,0.015,0.011,93,0.022,1.6,1111826
7,1984,3,2,11,42,32.074,38.78787,-122.77264,0.513,0.017,0.01,115,0.027,2.0,1112037
8,1984,3,2,11,44,53.915,38.79178,-122.77252,0.758,0.014,0.012,76,0.042,2.0,1112040
9,1984,3,2,11,44,59.875,38.79014,-122.7693,1.387,0.026,0.017,2,0.037,1.8,1112041
10,1984,3,3,11,8,48.215,38.78886,-122.77259,1.716,0.015,0.013,4,0.018,1.9,1112099
11,1984,3,14,8,25,37.67,38.79892,-122.76852,1.824,0.02,0.014,175,0.037,1.9,1112687
12,1984,3,21,0,17,16.55,38.79993,-122.77125,1.659,0.017,0.011,176,0.018,1.6,1112931
13,1984,3,21,0,33,36.61,38.78981,-122.77471,1.773,0.032,0.015,94,0.024,1.6,1112933
14,1984,3,24,15,11,53.07,38.78375,-122.75738,1.142,0.017,0.016,131,0.024,1.8,11986
15,1984,3,24,18,51,10.84,38.78354,-122.75646,1.055,0.019,0.014,176,0.031,1.6,12009
16,1984,3,31,0,2,18.935,38.78904,-122.77461,2.101,0.009,0.006,48,0.012,1.6,13080
17,1984,4,1,4,6,53.2,38.78939,-122.77785,1.621,0.011,0.01,92,0.012,2.0,13229
18,1984,4,12,23,46,0.776,38.80319,-122.77178,1.383,0.01,0.007,56,0.012,1.9,15171
19,1984,5,8,21,50,33.52,38.78307,-122.77038,1.338,0.008,0.007,177,0.01,2.2,17889
20,1984,5,9,18,40,51.68,38.7849,-122.77326,1.096,0.014,0.01,130,0.016,1.7,18162
21,1984,5,16,12,35,55.249,38.78384,-122.75649,1.429,0.01,0.008,27,0.011,2.3,18589
22,1984,5,19,7,8,21.0,38.78253,-122.76328,1.146,0.007,0.006,83,0.007,3.0,18863
23,1984,5,27,8,10,38.31,38.79438,-122.74969,1.521,0.019,0.013,62,0.023,1.7,1115842
24,1984,6,1,23,31,29.8,38.80485,-122.76912,1.827,0.024,0.016,153,0.028,1.8,1116057
25,1984,6,16,12,31,15.535,38.79334,-122.77508,0.922,0.007,0.006,86,0.012,2.5,20992
26,1984,6,17,6,24,51.305,38.78746,-122.77241,0.763,0.009,0.006,69,0.011,1.9,21033
27,1984,6,20,2,25,14.152,38.80098,-122.76937,1.66,0.02,0.016,163,0.032,1.7,1116657
28,1984,6,23,9,42,36.84,38.79042,-122.77745,2.313,0.011,0.009,165,0.012,2.1,21391
29,1984,6,25,16,2,43.955,38.79001,-122.77743,1.969,0.01,0.01,3,0.013,2.0,21524
30,1984,7,13,15,58,40.1,38.80206,-122.77384,1.861,0.052,0.025,10,0.041,1.6,1117497
31,1984,7,13,23,23,33.01,38.78486,-122.77201,0.709,0.011,0.009,27,0.021,1.9,1117509
32,1984,7,18,0,14,57.742,38.80447,-122.76883,2.15,0.011,0.007,0,0.009,1.9,23028
33,1984,7,20,21,7,51.12,38.78425,-122.75651,1.391,0.009,0.008,130,0.009,1.6,23470
34,1984,7,21,12,39,0.85,38.78448,-122.76884,0.665,0.017,0.011,37,0.016,2.2,23505
35,1984,7,21,12,56,35.88,38.78473,-122.76948,0.721,0.017,0.013,43,0.017,1.6,23506
36,1984,7,21,18,34,13.6,38.79215,-122.77493,0.714,0.016,0.01,20,0.016,2.3,23519
37,1984,8,8,10,20,59.34,38.80747,-122.77747,1.813,0.039,0.03,34,0.158,1.7,1119019
38,1984,8,11,23,2,17.07,38.78575,-122.77372,1.681,0.012,0.008,174,0.012,2.1,25484
39,1984,8,15,14,30,20.335,38.78613,-122.77297,0.955,0.011,0.01,108,0.018,1.7,25668
40,1984,8,20,17,47,43.32,38.78517,-122.75812,1.542,0.01,0.008,151,0.01,1.8,25990
41,1984,8,23,8,27,19.94,38.79052,-122.77742,0.683,0.029,0.015,137,0.043,1.7,1119596
42,1984,8,24,9,41,16.801,38.8033,-122.77202,1.933,0.01,0.007,5,0.009,2.0,26213
43,1984,8,28,9,55,10.78,38.79284,-122.77718,0.802,0.014,0.012,81,0.017,2.0,26537
44,1984,8,28,10,18,21.105,38.79501,-122.77751,0.86,0.029,0.019,111,0.039,2.6,26539
45,1984,9,8,15,58,32.035,38.78951,-122.77695,0.505,0.021,0.017,125,0.027,1.9,1120051
46,1984,9,9,2,8,37.017,38.78674,-122.77439,1.023,0.013,0.007,104,0.012,3.0,27555
47,1984,9,9,9,38,26.158,38.78791,-122.77417,0.305,0.017,0.015,60,0.027,1.8,27566
48,1984,9,9,9,38,55.093,38.78739,-122.77219,0.479,0.015,0.01,110,0.018,2.1,27658
49,1984,9,21,21,50,20.92,38.78448,-122.75662,1.455,0.011,0.009,119,0.018,1.6,28400
50,1984,9,24,13,4,9.37,38.79489,-122.75015,1.9,0.011,0.007,87,0.01,1.8,28549
51,1984,9,25,17,1,25.68,38.79468,-122.75032,1.691,0.007,0.006,86,0.008,1.7,28586
52,1984,10,5,17,20,32.936,38.80335,-122.77175,1.985,0.009,0.007,13,0.01,1.7,29430
53,1984,10,12,21,47,43.83,38.80105,-122.76922,2.025,0.01,0.008,24,0.013,2.3,29978
54,1984,10,14,7,27,20.223,38.80237,-122.77216,1.825,0.009,0.007,25,0.009,1.8,30035
55,1984,10,15,1,24,21.535,38.78684,-122.77341,0.227,0.028,0.012,86,0.034,1.7,1121264
56,1984,10,20,8,2,41.226,38.80193,-122.7716,1.816,0.009,0.007,152,0.01,1.6,30382
57,1984,10,21,2,51,22.58,38.79336,-122.77773,0.783,0.015,0.013,101,0.02,1.9,30447
58,1984,10,23,11,56,21.82,38.7948,-122.7502,1.89,0.007,0.006,172,0.01,1.6,30549
59,1984,10,28,22,1,35.466,38.784,-122.7568,1.439,0.009,0.007,175,0.009,2.0,30860
60,1984,10,29,6,51,17.49,38.79119,-122.77578,4.071,0.013,0.012,99,0.026,1.8,30894
61,1984,10,31,8,43,39.01,38.79384,-122.75081,1.494,0.013,0.012,27,0.02,1.6,1121667
62,1984,11,3,17,33,3.18,38.79297,-122.77596,1.226,0.015,0.012,54,0.022,2.7,31212
63,1984,11,4,1,51,52.7,38.78331,-122.76976,1.056,0.009,0.008,123,0.009,1.7,31226
64,1984,11,9,5,55,57.443,38.80286,-122.77244,1.867,0.009,0.008,56,0.009,1.9,31521
65,1984,11,16,10,49,27.695,38.78608,-122.77429,1.082,0.027,0.015,2,0.03,1.7,1122099
66,1984,11,16,20,26,31.6,38.79478,-122.75047,1.684,0.008,0.005,51,0.008,1.6,32031
67,1984,11,19,1,23,54.551,38.80317,-122.77188,1.948,0.012,0.008,2,0.012,1.9,32121
