,Closest_neigh,Index_o_CN
0,inf,0.0
1,3.8,0.0
2,2.6,0.0
3,3.5,0.0
4,3.9,0.0
5,3.0,0.0
6,2.0,0.0
7,3.3,0.0
8,2.8,0.0
9,5.2,0.0
10,3.9,0.0
11,4.3,0.0
12,4.0,0.0
13,2.9,0.0
14,2.8,0.0
15,3.5,0.0
16,2.6,0.0
17,4.0,0.0
18,-0.2,0.0
19,-1.3,0.0
20,0.9,0.0
21,2.5,0.0
22,2.2,0.0
23,1.0,0.0
24,1.6,0.0
25,4.2,0.0
26,2.8,0.0
27,2.9,0.0
28,2.4,0.0
29,1.7,0.0
30,2.6,0.0
31,0.6,0.0
32,2.2,0.0
33,3.1,0.0
34,3.3,0.0
35,2.0,0.0
36,2.8,0.0
37,2.5,0.0
38,4.0,0.0
39,4.0,0.0
40,3.8,0.0
41,3.6,0.0
42,4.4,0.0
43,2.2,0.0
44,3.2,0.0
45,3.1,0.0
46,2.5,0.0
47,3.0,0.0
48,2.0,0.0
49,3.8,0.0
50,1.8,0.0
51,3.8,0.0
52,1.1,0.0
53,4.2,0.0
54,2.3,0.0
55,3.5,0.0
56,3.9,0.0
57,2.5,0.0
58,2.8,0.0
59,3.1,0.0
60,3.2,0.0
61,3.6,0.0
62,3.6,0.0
63,3.6,0.0
64,3.3,0.0
65,1.4,0.0
66,2.2,0.0
67,3.0,0.0
68,-1.1,0.0
69,-2.6,0.0
70,2.4,0.0
71,3.7,0.0
72,3.3,0.0
73,1.6,0.0
74,4.5,0.0
75,3.5,0.0
76,2.7,0.0
77,2.4,0.0
78,4.1,0.0
79,3.4,0.0
80,3.8,0.0
81,3.6,0.0
82,3.3,0.0
83,3.4,0.0
84,0.7,0.0
85,3.0,0.0
86,0.2,0.0
87,2.2,0.0
88,3.3,0.0
89,-0.3,0.0
90,2.5,0.0
91,1.6,0.0
92,-1.3,0.0
93,2.7,0.0
94,4.3,0.0
95,2.0,0.0
96,2.2,0.0
97,2.9,0.0
98,1.6,0.0
99,2.6,0.0
100,2.2,0.0
101,3.3,0.0
102,1.8,0.0
103,2.6,0.0
104,0.9,0.0
105,3.6,0.0
106,2.1,0.0
107,1.0,0.0
108,3.9,0.0
109,2.1,0.0
110,3.8,0.0
111,3.6,0.0
112,3.7,0.0
113,2.3,0.0
114,-0.1,0.0
115,2.7,0.0
116,2.4,0.0
117,2.7,0.0
118,2.3,0.0
119,2.8,0.0
120,2.3,0.0
121,1.2,0.0
122,2.0,0.0
123,1.6,0.0
124,1.8,0.0
125,3.0,0.0
126,3.5,0.0
127,3.0,0.0
128,-1.6,0.0
129,2.6,0.0
130,2.1,0.0
131,2.4,0.0
132,3.4,0.0
133,3.3,0.0
134,2.2,0.0
135,0.8,0.0
136,3.3,0.0
137,2.7,0.0
138,3.6,0.0
139,3.1,0.0
140,3.3,0.0
141,2.7,0.0
142,3.0,0.0
143,3.2,0.0
144,3.2,0.0
145,1.6,0.0
146,2.4,0.0
147,2.0,0.0
148,2.7,0.0
149,2.0,0.0
150,2.0,0.0
151,4.0,0.0
152,2.6,0.0
153,3.3,0.0
154,-1.6,0.0
155,-2.1,0.0
156,-1.1,0.0
157,-1.1,0.0
158,-1.3,0.0
159,-0.3,0.0
160,0.4,0.0
161,4.5,0.0
162,3.0,0.0
163,2.2,0.0
164,2.5,0.0
165,2.5,0.0
166,2.7,0.0
167,2.3,0.0
168,3.0,0.0
169,3.4,0.0
170,3.9,0.0
171,3.2,0.0
172,3.8,0.0
173,3.5,0.0
174,2.8,0.0
175,3.3,0.0
176,3.2,0.0
177,3.4,0.0
178,3.0,0.0
179,3.1,0.0
180,0.9,0.0
181,3.3,0.0
182,3.5,0.0
183,3.6,0.0
184,2.3,0.0
185,2.9,0.0
186,2.4,0.0
187,2.5,0.0
188,3.1,0.0
189,3.0,0.0
190,3.3,0.0
191,2.7,0.0
192,2.6,0.0
193,4.2,0.0
194,3.0,0.0
195,3.1,0.0
196,2.6,0.0
197,2.2,0.0
198,2.3,0.0
199,2.6,0.0
200,2.8,0.0
201,3.0,0.0
202,2.1,0.0
203,2.3,0.0
204,3.1,0.0
205,3.3,0.0
206,2.8,0.0
207,3.4,0.0
208,3.3,0.0
209,4.2,0.0
210,1.7,0.0
211,2.0,0.0
212,3.0,0.0
213,2.4,0.0
214,3.2,0.0
215,2.6,0.0
216,2.9,0.0
217,3.2,0.0
218,3.3,0.0
219,1.5,0.0
220,0.6,0.0
221,3.7,0.0
222,1.4,0.0
223,2.6,0.0
224,2.8,0.0
225,3.5,0.0
226,2.6,0.0
227,3.7,0.0
228,2.0,0.0
229,3.8,0.0
230,2.9,0.0
231,2.6,0.0
232,1.7,0.0
233,3.1,0.0
234,0.9,0.0
235,-2.0,0.0
236,2.4,0.0
237,1.4,0.0
238,1.0,0.0
239,3.2,0.0
240,3.2,0.0
241,2.6,0.0
242,4.7,0.0
243,3.8,0.0
244,3.3,0.0
245,3.2,0.0
246,3.2,0.0
247,2.1,0.0
248,3.2,0.0
249,3.2,0.0
250,3.2,0.0
251,3.1,0.0
252,3.5,0.0
253,3.5,0.0
254,3.5,0.0
255,3.3,0.0
256,3.4,0.0
257,3.6,0.0
258,3.3,0.0
259,-1.2,0.0
260,-3.1,0.0
261,1.7,0.0
262,2.8,0.0
263,2.7,0.0
264,2.8,0.0
265,2.0,0.0
266,3.0,0.0
267,2.8,0.0
268,2.1,0.0
269,1.7,0.0
270,2.7,0.0
271,-2.9,0.0
272,-1.3,0.0
273,3.3,0.0
274,2.5,0.0
275,2.6,0.0
276,3.9,0.0
277,3.1,0.0
278,3.5,0.0
279,2.9,0.0
280,2.0,0.0
281,2.7,0.0
282,2.7,0.0
283,2.7,0.0
284,-1.2,0.0
285,2.1,0.0
286,1.9,0.0
287,2.3,0.0
288,1.8,0.0
289,2.7,0.0
290,2.9,0.0
291,2.5,0.0
292,3.4,0.0
293,2.8,0.0
294,1.7,0.0
295,2.8,0.0
296,2.7,0.0
297,1.8,0.0
298,-0.3,0.0
299,3.4,0.0
300,3.3,0.0
301,-1.1,0.0
302,3.4,0.0
303,2.2,0.0
304,2.3,0.0
305,3.3,0.0
306,2.4,0.0
307,2.7,0.0
308,2.2,0.0
309,2.8,0.0
310,1.7,0.0
311,3.0,0.0
312,2.5,0.0
313,2.7,0.0
314,3.0,0.0
315,1.2,0.0
316,2.6,0.0
317,3.5,0.0
318,2.8,0.0
319,2.5,0.0
320,2.7,0.0
321,3.2,0.0
322,3.2,0.0
323,2.3,0.0
324,2.8,0.0
325,3.6,0.0
326,2.4,0.0
