mag_ran;;ran_prob;F rand;mag_real;real_prob;F real;;mag_clast;clust_prob;F clust;;1-Fclust;;;mag_clast;;;
5.6;1.05E-04;1.05E-06;1.00E+00;;0;1;;5.6;-1.05E-06;1.000001057;-1.06E-06;-1.0566E-06;;;;;;
5.3;1.05E-04;1.05E-06;1.00E+00;;0;1;;5.3;-1.04603E-06;1.000002113;-1.06E-06;-2.11319E-06;;;;;1;
5.2;2.09E-04;2.09E-06;1.00E+00;5;2.09E-04;0.999790795;;5;0.000207113;0.999792908;2.09E-04;0.000207092;;;5;0.000209205;0.999790795;0.000209205
4.9;1.05E-04;1.05E-06;9.99E-01;4.9;1.05E-04;0.999686192;;4.9;0.000103557;0.999688305;1.05E-04;0.000311695;;;4.9;0.000104603;0.999686192;0.000313808
4.8;4.18E-04;4.18E-06;9.99E-01;4.8;2.09E-04;0.999476987;;4.8;0.000205021;0.999481213;2.07E-04;0.000518787;;;;;0.999686192;0.000313808
4.7;5.23E-04;5.23E-06;9.99E-01;4.7;6.28E-04;0.998849372;;4.7;0.000622385;0.998852542;6.29E-04;0.001147458;;;4.7;0.000958855;0.998727337;0.001272663
4.6;8.37E-04;8.37E-06;9.98E-01;4.6;5.23E-04;0.998326359;;4.6;0.000514645;0.998332699;5.20E-04;0.001667301;;;;;0.998727337;0.001272663
4.5;7.32E-04;7.32E-06;9.97E-01;4.5;6.28E-04;0.997698744;;4.5;0.000620293;0.99770614;6.27E-04;0.00229386;;;4.5;0.000296372;0.998430965;0.001569035
4.4;0.00188;1.88E-05;9.95E-01;4.4;9.41E-04;9.97E-01;;4.4;0.000922623;0.996774198;9.32E-04;0.003225802;;;;;0.998430965;0.001569035
4.3;0.00314;3.14E-05;9.92E-01;4.3;0.00157;0.995187321;;4.3;0.0015386;0.995220056;1.55E-03;0.004779944;;;;;0.998430965;0.001569035
4.2;0.00429;4.29E-05;9.88E-01;4.2;0.00146;0.993727321;;4.2;0.0014171;0.993788642;1.43E-03;0.006211358;;;;;0.998430965;0.001569035
4.1;0.00596;5.96E-05;9.82E-01;4.1;0.00345;0.990277321;;4.1;0.0033904;0.990363996;3.42E-03;0.009636004;;;;;0.998430965;0.001569035
4;0.01036;1.04E-04;9.71E-01;4;0.00533;0.984947321;;4;0.0052264;0.985084804;5.28E-03;0.014915196;;;;;0.998430965;0.001569035
3.9;0.01349;1.35E-04;9.58E-01;3.9;0.0068;0.978147321;;3.9;0.0066651;0.97835238;6.73E-03;0.02164762;;;;;0.998430965;0.001569035
3.8;0.01715;1.72E-04;9.41E-01;3.8;0.0114;0.966747321;;3.8;0.0112285;0.96701046;1.13E-02;0.03298954;;;;;0.998430965;0.001569035
3.7;0.02395;2.40E-04;9.17E-01;3.7;0.01391;0.952837321;;3.7;0.0136705;0.953201874;1.38E-02;0.046798126;;;;;0.998430965;0.001569035
